OrderID,OrderDate,ShippedDate,Freight,CustomerID,CompanyName,Region,Country,ProductID,Quantity,UnitPrice,UnitsInStock,UnitsOnOrder,Discount
10248,2016-07-04,2016-07-16,16.75,VINET,Vins et alcools Chevalier,Western Europe,France,11,12,14,22,30,0.0
10248,2016-07-04,2016-07-16,16.75,VINET,Vins et alcools Chevalier,Western Europe,France,42,10,9.8,26,0,0.0
10248,2016-07-04,2016-07-16,16.75,VINET,Vins et alcools Chevalier,Western Europe,France,72,5,34.8,14,0,0.0
10249,2016-07-05,2016-07-10,22.25,TOMSP,Toms Spezialitäten,Western Europe,Germany,14,9,18.6,35,0,0.0
10249,2016-07-05,2016-07-10,22.25,TOMSP,Toms Spezialitäten,Western Europe,Germany,51,40,42.4,20,0,0.0
10250,2016-07-08,2016-07-12,25,HANAR,Hanari Carnes,South America,Brazil,41,10,7.7,85,0,0.0
10250,2016-07-08,2016-07-12,25,HANAR,Hanari Carnes,South America,Brazil,51,35,42.4,20,0,0.15
10250,2016-07-08,2016-07-12,25,HANAR,Hanari Carnes,South America,Brazil,65,15,16.8,76,0,0.15
10251,2016-07-08,2016-07-15,20.25,VICTE,Victuailles en stock,Western Europe,France,22,6,16.8,104,0,0.05
10251,2016-07-08,2016-07-15,20.25,VICTE,Victuailles en stock,Western Europe,France,57,15,15.6,36,0,0.05
10250,2016-07-08,2016-07-12,25,HANAR,Hanari Carnes,South America,Brazil,41,10,7.7,85,0,0.0
10252,2016-07-09,2016-07-11,36.25,SUPRD,Suprêmes délices,Western Europe,Belgium,20,40,64.8,40,0,0.05
10252,2016-07-09,2016-07-11,36.25,SUPRD,Suprêmes délices,Western Europe,Belgium,33,25,2,112,0,0.05
10252,2016-07-09,2016-07-11,36.25,SUPRD,Suprêmes délices,Western Europe,Belgium,60,40,27.2,19,0,0.0
10253,2016-07-10,2016-07-16,35.5,HANAR,Hanari Carnes,South America,Brazil,31,20,10,0,70,0.0
10253,2016-07-10,2016-07-16,35.5,HANAR,Hanari Carnes,South America,Brazil,39,42,14.4,69,0,0.0
10250,2016-07-08,2016-07-12,25,HANAR,Hanari Carnes,South America,Brazil,41,10,7.7,85,0,0.0
10253,2016-07-10,2016-07-16,35.5,HANAR,Hanari Carnes,South America,Brazil,49,40,16,10,60,0.0
10254,2016-07-11,2016-07-23,24.25,CHOPS,Chop-suey Chinese,Western Europe,Switzerland,24,15,3.6,20,0,0.15
10254,2016-07-11,2016-07-23,24.25,CHOPS,Chop-suey Chinese,Western Europe,Switzerland,55,21,19.2,115,0,0.15
10254,2016-07-11,2016-07-23,24.25,CHOPS,Chop-suey Chinese,Western Europe,Switzerland,74,21,8,4,20,0.0
10255,2016-07-12,2016-07-15,37.5,RICSU,Richter Supermarkt,Western Europe,Switzerland,2,20,15.2,17,40,0.0
10255,2016-07-12,2016-07-15,37.5,RICSU,Richter Supermarkt,Western Europe,Switzerland,16,35,13.9,29,0,0.0
10255,2016-07-12,2016-07-15,37.5,RICSU,Richter Supermarkt,Western Europe,Switzerland,36,25,15.2,112,0,0.0
